V,Rinit,Rfinal,dR,dw,w
-2.441,1158349236.503,1155244666.38,-3104570.123,0.0037043349897024624,0.9358806757050946
2.267,1155244666.38,2721643872.899,1566399206.519,-0.7954620299665522,0.939585010694797
-1.381,2721643872.899,1318187360.5600002,-1403456512.339,0.6246155455130566,0.14412298072824484
2.731,1318187360.56,2899756855.387,1581569494.827,-0.6606505818158273,0.7687385262413015
-1.285,2899756855.388,1444616995.919,-1455139859.469,0.5546419349078097,0.10808794442528434
0.212,1444616995.919,1447586511.389,2969515.47,-0.00226730848533363,0.662729879333094
0.339,1447586511.389,1446549978.302,-1036533.087,0.0007903645775110268,0.6604625708477604
-0.553,1446549978.302,1443933853.39,-2616124.912,0.0019998618861095663,0.6612529354252714
1.054,1443933853.39,1628535856.6950002,184602003.305,-0.12534703192135244,0.663252797311381
0.255,1628535856.695,1627275083.123,-1260773.572,0.0007596281773067926,0.5379057653900285
2.807,1627275083.123,2929458636.0439997,1302183552.921,-0.43616029711295173,0.5386653935673353
1.343,2929458636.044,2929291301.909,-167334.135,3.11355742350361e-05,0.10250509645438353
2.663,2929291301.909,3012220578.889,82929276.98,-0.015006548449988999,0.10253623202861857
1.222,3012220578.889,2996079629.805,-16140949.084,0.0028556910041440398,0.08752968357862957
-2.831,2996079629.804,1183281416.8609998,-1812798212.943,0.8164513987650489,0.09038537458295151
0.296,1183281416.861,1186229066.7640002,2947649.903,-0.0033530618446919735,0.9068367733480004
0.8,1186229066.764,1222300381.541,36071314.777,-0.03972260598352251,0.9034837115033088
-2.176,1222300381.541,1164442581.336,-57857800.205,0.06490649547979588,0.8637611055197862
-1.985,1164442581.336,1158466653.537,-5975927.799,0.0070733637957071105,0.9286676009995821
1.598,1158466653.537,2044714846.623,886248193.086,-0.597394670946634,0.9357409647952892
1.263,2044714846.623,2051574532.1639998,6859685.541,-0.0026109973244530793,0.33834629384865517
1.553,2051574532.164,2117394715.194,65820183.03,-0.02419313955544805,0.3357352965242021
-2.71,2117394715.195,1167467354.695,-949927360.5,0.6135727951707755,0.3115421569683979
-1.13,1167467354.694,1163991910.256,-3475444.438,0.004083550317832252,0.9251149521403446
0.795,1163991910.256,1200772096.458,36780186.202,-0.04201705830315994,0.9291985024581768
1.304,1200772096.458,1604724308.3639998,403952211.906,-0.33472738210078534,0.8871814441550169
-2.327,1604724308.364,1161726907.048,-442997401.316,0.3794189063978447,0.5524540620542313
-2.074,1161726907.047,1151941020.619,-9785886.428,0.011675840351644595,0.9318729684532594
2.16,1151941020.62,2617756504.144,1465815483.524,-0.7761436036544735,0.9435488088037011
2.631,2617756504.143,2972903471.31,355146967.167,-0.07286522727158849,0.16740520514946053
0.616,2972903471.311,2940614294.3259997,-32289176.985,0.00589739710596604,0.09453997787769133
-0.827,2940614294.326,2458112231.2590003,-482502063.067,0.10658146163951479,0.10043737498365729
-2.185,2458112231.259,1186799232.1409998,-1271312999.118,0.6958182129529508,0.20701883662317225
-2.455,1186799232.141,1160685268.583,-26113963.558,0.030269366626157312,0.902837049576123
-1.444,1160685268.583,1158312338.9229999,-2372929.66,0.0028181686449811894,0.9331064162022803
-2.731,1158312338.922,1147246178.9529998,-11066159.969,0.013296486909285643,0.9359245848484514
2.129,1147246178.953,2645917382.552,1498671203.599,-0.7883076338434092,0.9492210717577367
-1.268,2645917382.553,1415798899.925,-1230118482.628,0.5243138896984323,0.16091343791409943
-0.352,1415798899.924,1408877336.094,-6921563.83,0.0055405355242753584,0.6852273276133283
1.336,1408877336.095,1906161571.974,497284235.879,-0.29566101822090834,0.6907678631367993
1.136,1906161571.973,1902641818.164,-3519753.809,0.0015495935810480033,0.39510684491633025
-2.059,1902641818.165,1177007165.032,-725634653.133,0.5173734508542103,0.39665643849693727
2.16,1177007165.031,2615671534.4309998,1438664369.4,-0.7461384902353652,0.9140298893523002
0.376,2615671534.431,2586687998.2200003,-28983536.211,0.006839846988599019,0.16789139911693496
2.415,2586687998.22,2878644273.693,291956275.473,-0.06260485802782399,0.17473124610553403
-2.157,2878644273.693,1184444687.9139998,-1694199585.779,0.79338512749307,0.11212638807771004
-0.507,1184444687.914,1184956971.25,512283.336,-0.0005827940820843924,0.90551151557078
-2.922,1184956971.25,1158020595.396,-26936375.854,0.03134314476518929,0.9049287214886956
