# pulseAmplitude,deltaCpos (at 0.65 V),CposInitial
-1.199000000000000066e+00,5.891692682640465208e-14,1.278048368913879968e-12
-1.199000000000000066e+00,1.163263260506818142e-14,1.219131442087475316e-12
-1.199000000000000066e+00,-8.698220362580218218e-14,1.207498809482407134e-12
-1.199000000000000066e+00,9.947184394876228559e-14,1.294481013108209317e-12
-1.199000000000000066e+00,-5.835851120497757972e-14,1.195009169159447031e-12
-1.199000000000000066e+00,-3.480670565710400516e-14,1.253367680364424611e-12
-1.199000000000000066e+00,6.467185431342339711e-14,1.288174386021528616e-12
-1.199000000000000066e+00,-4.698726694208451145e-14,1.223502531708105219e-12
-1.254999999999999893e+00,-1.510192992298369880e-14,1.270489798650189730e-12
-1.254999999999999893e+00,-1.357383963703757700e-14,1.285591728573173429e-12
-1.254999999999999893e+00,7.478759092461088638e-14,1.299165568210211006e-12
-1.254999999999999893e+00,-6.484172530251196650e-14,1.224377977285600120e-12
-1.254999999999999893e+00,6.748944390460969972e-14,1.289219702588112086e-12
-1.254999999999999893e+00,-7.792976210040099775e-14,1.221730258683502386e-12
-1.254999999999999893e+00,-4.208302861576669120e-15,1.299660020783903384e-12
-1.254999999999999893e+00,6.857085591288903314e-14,1.303868323645480053e-12
-1.254999999999999893e+00,-2.987423799240952715e-14,1.235297467732591020e-12
-1.254999999999999893e+00,4.987641925902398554e-14,1.265171705725000547e-12
-1.254999999999999893e+00,-7.565947278201374086e-14,1.215295286465976562e-12
-1.254999999999999893e+00,9.914313598553338705e-14,1.290954759247990303e-12
-1.254999999999999893e+00,-6.367631266351951024e-14,1.191811623262456916e-12
-1.254999999999999893e+00,-3.982589045722490476e-14,1.255487935925976426e-12
-1.254999999999999893e+00,6.780587390779537672e-14,1.295313826383201331e-12
-1.254999999999999893e+00,-7.377047324619763919e-14,1.227507952475405954e-12
-1.254999999999999893e+00,1.021626422250189834e-13,1.301278425721603593e-12
-1.254999999999999893e+00,-8.537914029983218555e-14,1.199115783496584610e-12
-1.254999999999999893e+00,-7.338427394749009788e-15,1.284494923796416795e-12
-1.254999999999999893e+00,2.988693383294258132e-14,1.291833351191165805e-12
-1.310999999999999943e+00,-1.599175911442348735e-14,1.261946417358223224e-12
-1.310999999999999943e+00,6.231519253140234139e-14,1.277938176472646711e-12
-1.310999999999999943e+00,-7.919647037517492357e-14,1.215622983941244370e-12
-1.310999999999999943e+00,2.499982893717564130e-15,1.294819454316419293e-12
-1.310999999999999943e+00,-2.179887987799466406e-14,1.292319471422701729e-12
-1.310999999999999943e+00,-7.841847729139966317e-15,1.314118351300696393e-12
-1.310999999999999943e+00,9.395263319227715173e-15,1.321960199029836359e-12
-1.310999999999999943e+00,2.828283661711230612e-15,1.312564935710608644e-12
-1.310999999999999943e+00,7.743924841806240827e-14,1.309736652048897414e-12
-1.310999999999999943e+00,-1.522783625510215516e-14,1.232297403630835005e-12
-1.310999999999999943e+00,1.437136952069307342e-14,1.247525239885937161e-12
-1.310999999999999943e+00,-7.843355079962771259e-14,1.233153870365244087e-12
-1.310999999999999943e+00,1.240857223191840574e-13,1.311587421164871800e-12
-1.310999999999999943e+00,-1.763161768322066857e-14,1.187501698845687742e-12
-1.310999999999999943e+00,1.641671346552330375e-14,1.205133316528908411e-12
-1.310999999999999943e+00,-3.814950630598666936e-14,1.188716603063385107e-12
-1.310999999999999943e+00,-6.786865277766201664e-14,1.226866109369371777e-12
-1.310999999999999943e+00,8.520501147082146392e-16,1.294734762147033793e-12
-1.310999999999999943e+00,8.848110988455211968e-14,1.293882712032325579e-12
-1.310999999999999943e+00,6.403912153560249932e-15,1.205401602147773459e-12
-1.366999999999999993e+00,-1.106841722250296490e-13,1.198997689994213209e-12
-1.366999999999999993e+00,1.506394934021016505e-14,1.309681862219242858e-12
-1.366999999999999993e+00,8.072209312681117415e-14,1.294617912879032693e-12
-1.366999999999999993e+00,-2.479547131642040829e-14,1.213895819752221519e-12
-1.366999999999999993e+00,-2.151074567622617099e-14,1.238691291068641927e-12
-1.366999999999999993e+00,2.111386423329750596e-14,1.260202036744868098e-12
-1.366999999999999993e+00,5.764625725297256926e-16,1.239088172511570592e-12
-1.366999999999999993e+00,5.656483306809419094e-15,1.238511709939040866e-12
-1.366999999999999993e+00,-7.046694220623364510e-14,1.232855226632231447e-12
-1.366999999999999993e+00,-3.125511947353324551e-15,1.303322168838465092e-12
-1.366999999999999993e+00,-8.252698679539674039e-15,1.306447680785818417e-12
-1.366999999999999993e+00,4.419821670977450368e-14,1.314700379465358091e-12
-1.366999999999999993e+00,-4.401802143669102615e-14,1.270502162755583587e-12
-1.366999999999999993e+00,9.554439738085651627e-14,1.314520184192274613e-12
-1.366999999999999993e+00,-6.773335620775610618e-14,1.218975786811418097e-12
-1.366999999999999993e+00,1.067422910692105465e-14,1.286709143019174203e-12
-1.366999999999999993e+00,6.309819676347791128e-14,1.276034913912253149e-12
-1.366999999999999993e+00,-7.917815370155954438e-15,1.212936717148775237e-12
-1.366999999999999993e+00,3.710306226828407631e-15,1.220854532518931192e-12
-1.366999999999999993e+00,4.404041437378473420e-15,1.217144226292102784e-12
-1.423000000000000043e+00,-4.441556605025473576e-14,1.212740184854724311e-12
-1.423000000000000043e+00,-5.143240777092775277e-14,1.257155750904979047e-12
-1.423000000000000043e+00,1.442309273465379354e-14,1.308588158675906799e-12
-1.423000000000000043e+00,-2.456737784993716885e-14,1.294165065941253006e-12
-1.423000000000000043e+00,2.284863151472411602e-14,1.318732443791190175e-12
-1.423000000000000043e+00,4.244914618085824025e-14,1.295883812276466059e-12
-1.423000000000000043e+00,-6.236272450809825413e-14,1.253434666095607818e-12
-1.423000000000000043e+00,3.471951201737949128e-14,1.315797390603706073e-12
-1.423000000000000043e+00,3.012054767146172726e-14,1.281077878586326581e-12
-1.423000000000000043e+00,-7.494553282996247223e-15,1.250957330914864854e-12
-1.423000000000000043e+00,-5.013333948259301257e-14,1.258451884197861101e-12
-1.423000000000000043e+00,2.532742415463896530e-14,1.308585223680454114e-12
-1.423000000000000043e+00,4.616821338699749623e-14,1.283257799525815148e-12
-1.423000000000000043e+00,-5.055367941291216050e-14,1.237089586138817652e-12
-1.423000000000000043e+00,6.896889568682505275e-15,1.287643265551729813e-12
