pulseAmplitude,deltaRneg(measured at -80mV),RnegInitial,deltaRpos(measured at +80mV),RposInitial
-2.026,-5155747.231,962739571.725,-13559742.873,1178609417.679
-2.374,-5316237.302,957583824.494,-9925109.06,1165049674.806
-1.883,333370.648,952267587.192,-1751960.075,1155124565.745
1.81,1021689827.552,952600957.84,1185086630.308,1153372605.671
-1.584,-969621585.285,1974290785.393,-1114696704.65,2338459235.979
0.392,23755957.023,1004669200.107,1269778.899,1223762531.328
0.567,4264638.345,1028425157.131,2801453.36,1225032310.227
0.332,1917829.582,1032689795.476,1396093.177,1227833763.587
1.74,848287589.94,1034607625.058,990437281.952,1229229856.764
0.499,-31995376.906,1882895214.998,-13360964.092,2219667138.716
-1.097,-632242189.492,1850899838.093,-737133098.689,2206306174.624
-0.943,-13413631.883,1218657648.6,-27014452.907,1469173075.934
-0.223,8547077.698,1205244016.717,1364613.006,1442158623.027
1.942,856959195.361,1213791094.415,1012920938.203,1443523236.033
2.576,449018874.171,2070750289.776,533749485.657,2456444174.236
1.493,-13514492.132,2519769163.947,-1155211.144,2990193659.892
-1.2,-1185041269.427,2506254671.815,-1386448663.656,2989038448.749
1.335,460217496.352,1321213402.389,516817628.594,1602589785.093
-1.496,-711317038.626,1781430898.741,-808787129.872,2119407413.687
-2.228,-104795341.203,1070113860.115,-130216172.467,1310620283.815
1.017,157356141.198,965318518.912,159813472.977,1180404111.348
2.381,1271961355.215,1122674660.11,1485780752.575,1340217584.325
-1.241,-1193102859.018,2394636015.326,-1368240514.207,2825998336.9
-1.09,-23486063.875,1201533156.307,-33332489.288,1457757822.693
1.435,586686558.523,1178047092.433,670402275.376,1424425333.405
-2.876,-798743740.721,1764733650.956,-913987913.673,2094827608.78
1.378,507968922.094,965989910.235,566262844.525,1180839695.107
-2.685,-517057661.083,1473958832.33,-575861199.498,1747102539.632
-1.927,-1713787.362,956901171.247,-8771673.327,1171241340.134
1.462,578037601.549,955187383.885,646873509.956,1162469666.807
1.743,372367213.071,1533224985.434,447356400.105,1809343176.763
